College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
Tamil Nadu Agricultural University,Tamil Nadu,Agriculture,654,670,7.9,8.6,8,8,8.8,6.6,7.5
Anbil Dharmalingam Agricultural College And Research Institute,Tamil Nadu,Agriculture,654,670,9,8.2,7.4,8.2,8,7.5,8.1
Veterinary College And Research Institute,Tamil Nadu,Agriculture,654,670,7.7,8,7,8,8,8.3,7
"Vanavarayar Institute Of Agriculture, Pollachi",Tamil Nadu,Agriculture,654,670,6.9,7.5,5.8,7.7,8,5.3,7
Tamil Nadu Veterinary And Animal Sciences University,Tamil Nadu,Agriculture,654,670,8.3,8.4,8,8.4,8.2,8.2,8.4
Horticultural College And Research Institute,Tamil Nadu,Agriculture,654,670,5.7,7.3,5.3,6,5,5,5.3
Shrimathi Devkunvar Nanalal Bhatt Vaishnav College For,Tamil Nadu,Agriculture,654,670,8.6,9,8,8.7,9.5,7.9,8.4
Thanthai Roever Institute Of Agriculture And Rural,Tamil Nadu,Agriculture,654,670,7.9,8.2,7.4,8.2,8,7.5,8.1
Central Marine Fisheries Research Institute,Tamil Nadu,Agriculture,654,670,7.6,8,7,7.5,8,7.5,7.5
Agricultural College And Research Institute,Tamil Nadu,Agriculture,654,670,8,8.5,7,8.5,7.5,8,8.3
Forest College And Research Institute,Tamil Nadu,Agriculture,654,670,8.2,8.7,7.7,7.3,8.7,8,8.7
Agricultural College And Research Institute,Tamil Nadu,Agriculture,654,670,7.9,8.4,7.4,8.9,7.6,6.9,8
"Loyola College, Chennai",Tamil Nadu,Agriculture,654,670,8.6,8.7,8.2,8.3,8.9,8.4,8.8
Vellore Institute Of Technology,Tamil Nadu,Agriculture,654,670,8.3,8.3,8,7.8,8.9,8.5,8.5
Srm Institute Of Technology,Tamil Nadu,Agriculture,654,670,8,8,7.1,7.6,8.7,8.2,8.6
"Thiagarajar College, Madurai",Tamil Nadu,Agriculture,654,670,7.5,7.9,7.1,8,7.1,7.2,7.9
Annamalai University,Tamil Nadu,Agriculture,654,670,7.4,8.1,6.7,8,7.9,6.5,7.2
