College_Name,State,Stream,UG_fee,PG_fee,Rating,Academic,Accommodation,Faculty,Infrastructure,Placement,Social_Life
"Loyola College, Chennai",Tamil Nadu,Arts,654,670,8.6,8.7,8.2,8.3,8.9,8.4,8.8
"Presidency College, Chennai",Tamil Nadu,Arts,654,870,8.2,8.8,7.3,8.9,8.1,7.6,8.6
Madras Christian College,Tamil Nadu,Arts,654,670,8.6,8.5,7.9,8.6,8.7,8.4,9.2
Women'S Christian College,Tamil Nadu,Arts,654,670,8.7,9,7.9,8.8,9.1,8.5,8.9
"Guru Nanak College, Chennai",Tamil Nadu,Arts,654,670,7.9,8.2,7.1,8,8.4,7.3,8.5
"Kamadhenu College Of Arts & Science, Dharmapuri",Tamil Nadu,Arts,654,670,7.7,8,7,8,7,9,7
"Ethiraj College For Women, Chennai",Tamil Nadu,Arts,654,670,8.1,8.5,7.3,8.2,7.9,7.9,8.6
"M.O.P. Vaishnav College For Women, Chennai",Tamil Nadu,Arts,654,670,8.5,8.7,8.1,8.7,8.4,8.3,9
"Quaide-E-Millath Government College For Women (Autonomous), Chennai",Tamil Nadu,Arts,654,670,6.7,6.5,6.5,7.7,7,5,7.3
"Loganatha Narayanasamy Government College, Ponneri",Tamil Nadu,Arts,654,670,6.5,8,5.5,7,5.5,6,7
"Ramakrishna Mission Vivekananda College, Chennai",Tamil Nadu,Arts,265,815,8.2,8.8,7.8,8.6,7.8,8.1,8
"Sri Krishna Arts And Science College, Coimbatore",Tamil Nadu,Arts,654,670,8.5,8.6,7.8,8.6,8.9,8.7,8.5
"Hindusthan College Of Arts And Science- [Hicas],",Tamil Nadu,Arts,654,670,7.5,7.7,6.5,7.4,8.4,7.5,7.3
"Cbm College Of Arts And Science, Coimbatore",Tamil Nadu,Arts,654,670,5.3,6,3.5,6,6,3.5,6.5
"Cms College Of Science And Commerce, Coimbatore",Tamil Nadu,Arts,654,670,8.2,8.3,7.4,8.1,8.5,8,8.7
Rathinam College Of Arts And Science,Tamil Nadu,Arts,654,670,8.2,7.6,7.5,8.1,8.7,8.1,9
"Queen Mary'S College, Chennai",Tamil Nadu,Arts,592,670,7.6,7.9,6.9,8.3,6.8,7.6,8.2
"Psg College Of Arts And Science, Coimbatore",Tamil Nadu,Arts,654,670,8.3,8.5,7.9,8.2,8.5,8.2,8.7
"Kongunadu Arts And Science College, Coimbatore",Tamil Nadu,Arts,654,670,7.3,8,6.7,8.3,7.3,6.3,7
Bharathiar University,Tamil Nadu,Arts,654,670,7.8,8,7.6,8.1,7.7,7.5,7.9
"Meenakshi College For Women, Chennai",Tamil Nadu,Arts,654,670,7.4,8.1,6.5,7.8,7.2,7.9,7.1
Justice Basheer Ahmed Sayeed College For Women,Tamil Nadu,Arts,654,670,8.1,8.3,6.9,8.7,8.5,7.9,8.3
"Sdn Bhatt Vaishnav College For Women, Chennai",Tamil Nadu,Arts,654,670,8.6,8.8,7.9,8.8,8.7,8.6,8.8
Dr Gr Damodaran College Of Science,Tamil Nadu,Arts,654,670,7.5,8,6.3,7.9,7.5,7.2,8.2
"Stella Maris College, Chennai",Tamil Nadu,Arts,654,670,8.2,8.8,7.5,8.6,8.4,7.6,8.5
Ponnaiyah Ramajayam Institute Of Science And Technology,Tamil Nadu,Arts,654,670,6.5,6.8,6.4,6.9,7,5.4,6.3
"Nirmala College For Women, Coimbatore",Tamil Nadu,Arts,654,670,8.6,9,8.5,8.5,9,8.3,8.1
"Pachaiyappa'S College, Chennai",Tamil Nadu,Arts,654,901,6.6,6.6,6.2,7.2,6.9,5.2,7.6
Dr. Mgr Janaki College Of Arts And,Tamil Nadu,Arts,654,670,5.6,6.5,4.8,5.2,5,5.2,6.8
"Psgr Krishnammal College For Women, Coimbatore",Tamil Nadu,Arts,654,670,8.8,9.1,8.3,8.6,8.9,8.7,9
"St. Xavier'S College, Mumbai",Maharashtra,Arts,654,670,8.2,8.7,7.3,8.3,8.8,7.6,8.7
"Fergusson College, Pune",Maharashtra,Arts,654,670,8.1,8.5,7.3,8.2,8.5,7.1,8.7
K J Somaiya College Of Arts &,Maharashtra,Arts,654,670,8.1,8.1,8.4,7.8,8.8,7,8.5
