institute_short,institute_type,quota,category,closing_rank,round_no,stream
IIT-Bombay,IIT,AI,GEN,1841,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1098,6,Engineering
IIT-Bombay,IIT,AI,SC,468,6,Engineering
IIT-Bombay,IIT,AI,ST,145,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,94,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,45,6,Engineering
IIT-Bombay,IIT,AI,GEN,1479,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,974,6,Engineering
IIT-Bombay,IIT,AI,SC,572,6,Engineering
IIT-Bombay,IIT,AI,ST,335,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,75,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,40,6,Engineering
IIT-Bombay,IIT,AI,SC-PWD,3,6,Engineering
IIT-Bombay,IIT,AI,GEN,4880,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,2596,6,Engineering
IIT-Bombay,IIT,AI,SC,1743,6,Engineering
IIT-Bombay,IIT,AI,ST,697,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,49,6,Engineering
IIT-Bombay,IIT,AI,GEN,2251,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1007,6,Engineering
IIT-Bombay,IIT,AI,SC,441,6,Engineering
IIT-Bombay,IIT,AI,ST,108,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,50,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,21,6,Engineering
IIT-Bombay,IIT,AI,GEN,60,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,44,6,Engineering
IIT-Bombay,IIT,AI,SC,26,6,Engineering
IIT-Bombay,IIT,AI,ST,15,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,3,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,1,6,Engineering
IIT-Bombay,IIT,AI,GEN,227,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,162,6,Engineering
IIT-Bombay,IIT,AI,SC,81,6,Engineering
IIT-Bombay,IIT,AI,ST,45,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,9,6,Engineering
IIT-Bombay,IIT,AI,SC-PWD,1,6,Engineering
IIT-Bombay,IIT,AI,GEN,583,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,404,6,Engineering
IIT-Bombay,IIT,AI,SC,226,6,Engineering
IIT-Bombay,IIT,AI,ST,87,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,24,6,Engineering
IIT-Bombay,IIT,AI,GEN,514,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,328,6,Engineering
IIT-Bombay,IIT,AI,SC,184,6,Engineering
IIT-Bombay,IIT,AI,ST,130,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,2,6,Engineering
IIT-Bombay,IIT,AI,GEN,2250,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1524,6,Engineering
IIT-Bombay,IIT,AI,SC,848,6,Engineering
IIT-Bombay,IIT,AI,ST,706,6,Engineering
IIT-Bombay,IIT,AI,GEN,1041,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,796,6,Engineering
IIT-Bombay,IIT,AI,SC,763,6,Engineering
IIT-Bombay,IIT,AI,ST,337,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,43,6,Engineering
IIT-Bombay,IIT,AI,GEN,1843,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,928,6,Engineering
IIT-Bombay,IIT,AI,SC,812,6,Engineering
IIT-Bombay,IIT,AI,ST,368,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,50,6,Engineering
IIT-Bombay,IIT,AI,GEN,777,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,371,6,Engineering
IIT-Bombay,IIT,AI,SC,164,6,Engineering
IIT-Bombay,IIT,AI,ST,117,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,13,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL-PWD,8,6,Engineering
IIT-Bombay,IIT,AI,GEN,901,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,484,6,Engineering
IIT-Bombay,IIT,AI,SC,284,6,Engineering
IIT-Bombay,IIT,AI,ST,133,6,Engineering
IIT-Bombay,IIT,AI,GEN,2971,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1647,6,Engineering
IIT-Bombay,IIT,AI,SC,929,6,Engineering
IIT-Bombay,IIT,AI,ST,580,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,104,6,Engineering
IIT-Bombay,IIT,AI,GEN,3450,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1783,6,Engineering
IIT-Bombay,IIT,AI,SC,959,6,Engineering
IIT-Bombay,IIT,AI,ST,384,6,Engineering
IIT-Bombay,IIT,AI,GEN-PWD,60,6,Engineering
IIT-Bombay,IIT,AI,GEN,3403,6,Engineering
IIT-Bombay,IIT,AI,OBC-NCL,1885,6,Engineering
IIT-Bombay,IIT,AI,SC,1126,6,Engineering
IIT-Bombay,IIT,AI,ST,389,6,Engineering
IIT-Delhi,IIT,AI,GEN,4714,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,2535,6,Engineering
IIT-Delhi,IIT,AI,SC,1563,6,Engineering
IIT-Delhi,IIT,AI,ST,843,6,Engineering
IIT-Delhi,IIT,AI,GEN,3718,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,2207,6,Engineering
IIT-Delhi,IIT,AI,SC,1525,6,Engineering
IIT-Delhi,IIT,AI,ST,885,6,Engineering
IIT-Delhi,IIT,AI,GEN-PWD,91,6,Engineering
IIT-Delhi,IIT,AI,GEN,1704,6,Engineering
IIT-Delhi,IIT,AI,GEN,2996,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,1072,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,1441,6,Engineering
IIT-Delhi,IIT,AI,SC,708,6,Engineering
IIT-Delhi,IIT,AI,SC,876,6,Engineering
IIT-Delhi,IIT,AI,ST,473,6,Engineering
IIT-Delhi,IIT,AI,ST,702,6,Engineering
IIT-Delhi,IIT,AI,GEN-PWD,188,6,Engineering
IIT-Delhi,IIT,AI,GEN-PWD,90,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL-PWD,58,6,Engineering
IIT-Delhi,IIT,AI,GEN,2618,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,1018,6,Engineering
IIT-Delhi,IIT,AI,SC,400,6,Engineering
IIT-Delhi,IIT,AI,ST,47,6,Engineering
IIT-Delhi,IIT,AI,GEN-PWD,70,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL-PWD,34,6,Engineering
IIT-Delhi,IIT,AI,GEN,115,6,Engineering
IIT-Delhi,IIT,AI,GEN,186,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,62,6,Engineering
IIT-Delhi,IIT,AI,OBC-NCL,140,6,Engineering
IIT-Delhi,IIT,AI,SC,43,6,Engineering
IIT-Delhi,IIT,AI,SC,47,6,Engineering
IIT-Delhi,IIT,AI,ST,19,6,Engineering
IIT-Delhi,IIT,AI,ST,46,6,Engineering
IIT-Delhi,IIT,AI,GEN-PWD,5,6,Engineering
